,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
43,busselton,5,AU,1569005846,72,42.01,-33.64,115.35,10.4
44,demerval lobao,40,BR,1569006688,27,98.6,-5.36,-42.68,4.7
45,new norfolk,95,AU,1569006139,93,54.0,-42.78,147.06,4.7
46,flinders,100,AU,1569006688,87,64.99,-34.58,150.85,5.82
47,colac,100,AU,1569006688,84,55.99,-38.34,143.59,2.35
48,cap malheureux,40,MU,1569006689,68,69.8,-19.98,57.61,8.05
49,grindavik,90,IS,1569006184,100,53.6,63.84,-22.43,25.28
50,torbay,75,CA,1569005894,55,66.0,47.66,-52.73,11.41
51,avarua,17,CK,1569006133,68,71.6,-21.21,-159.78,2.24
52,ostrovnoy,52,RU,1569006191,87,37.86,68.05,39.51,18.88
53,mahebourg,75,MU,1569006205,73,69.8,-20.41,57.7,11.41
54,hay river,90,CA,1569006691,76,50.0,60.82,-115.79,13.87
55,hailey,90,US,1569006691,100,48.99,43.52,-114.32,9.17
56,portland,40,US,1569006135,36,81.0,43.66,-70.25,6.93
57,melilla,75,EC,1569006691,69,80.6,-0.8,-80.23,11.41
58,sarzedo,40,BR,1569006692,24,95.0,-20.04,-44.15,5.82
59,bluff,11,AU,1569006117,96,57.66,-23.58,149.07,8.34
60,evensk,62,RU,1569006692,71,34.08,61.92,159.24,3.78
61,aykhal,90,RU,1569006693,98,32.0,65.95,111.51,6.71
62,monroe,1,US,1569006693,58,87.8,41.91,-83.4,6.93
63,takapau,70,NZ,1569006693,91,44.01,-40.02,176.35,0.78
64,vaini,66,IN,1569006135,90,75.3,15.34,74.49,2.84
65,bredasdorp,0,ZA,1569006132,63,60.8,-34.53,20.04,13.87
66,ushuaia,75,AR,1569006109,94,37.4,-54.81,-68.31,17.22
67,nikolskoye,90,RU,1569006144,70,44.6,59.7,30.79,15.66
68,sao geraldo do araguaia,48,BR,1569006707,20,103.38,-6.4,-48.55,6.76
69,ixtapa,90,MX,1569006714,66,88.0,20.71,-105.21,4.45
70,narsaq,40,GL,1569006139,45,48.2,60.91,-46.05,3.36
71,axim,100,GH,1569006718,89,76.74,4.87,-2.24,10.74
72,ahipara,0,NZ,1569006200,100,48.0,-35.17,173.16,9.08
73,isangel,75,VU,1569006728,88,68.0,-19.55,169.27,22.1
74,los llanos de aridane,75,ES,1569006729,78,75.2,28.66,-17.92,4.7
75,saskylakh,82,RU,1569006238,93,31.56,71.97,114.09,14.12
76,athabasca,96,CA,1569006730,76,54.78,54.72,-113.29,11.03
77,dali,17,CN,1569006734,54,63.42,34.79,109.94,6.64
78,brae,0,GB,1569006736,76,53.6,60.4,-1.35,1.12
79,airai,76,TL,1569006187,84,67.38,-8.93,125.41,2.71
80,kloulklubed,75,PW,1569006739,94,75.2,7.04,134.26,3.44
81,noumea,0,NC,1569006084,87,72.0,-22.28,166.46,2.24
82,ribeira grande,40,PT,1569006744,56,71.6,38.52,-28.7,16.11
83,westport,1,US,1569006596,33,79.0,41.14,-73.36,5.82
84,lata,28,IN,1569006165,92,33.9,30.78,78.62,1.01
85,grasse,0,FR,1569006754,68,75.2,43.66,6.92,3.36
86,san cristobal,66,HN,1569006208,46,83.94,14.68,-86.92,5.41
87,wana,0,PK,1569006757,71,60.72,32.31,69.59,3.56
88,cidreira,45,BR,1569006758,57,61.44,-30.17,-50.22,14.63
89,sitka,83,US,1569006760,65,78.01,37.17,-99.65,15.99
90,snezhnogorsk,75,RU,1569006764,86,39.2,69.19,33.23,8.95
91,khatanga,13,RU,1569006765,80,34.26,71.98,102.47,18.63
92,hithadhoo,96,MV,1569006767,73,81.6,-0.6,73.08,3.98
93,bethel,40,US,1569006499,93,39.2,60.79,-161.76,12.75
94,qaanaaq,0,GL,1569006770,40,24.54,77.48,-69.36,6.62
95,port blair,100,IN,1569006771,80,81.24,11.67,92.75,11.97
96,harnai,0,PK,1569006772,20,77.64,30.1,67.94,2.68
97,mwinilunga,48,ZM,1569006775,24,69.36,-11.73,24.43,4.27
98,ovalle,0,CL,1569006539,31,72.24,-30.6,-71.2,12.21
99,severo-kurilsk,100,RU,1569006781,89,48.66,50.68,156.12,10.02
100,tura,100,RU,1569006782,94,52.26,64.27,100.22,11.63
101,cobija,40,BR,1569006783,47,96.8,-11.02,-68.77,6.93
102,nome,90,US,1569006291,74,88.0,30.04,-94.42,6.93
103,albany,40,US,1569006752,43,78.01,42.65,-73.75,3.83
104,chuy,0,UY,1569006794,40,59.28,-33.69,-53.46,3.56
105,ormara,0,PK,1569006802,64,82.5,25.21,64.64,9.01
106,mareeba,75,AU,1569006806,73,72.0,-16.99,145.42,10.29
107,san juan,5,AR,1569006691,13,48.48,-31.54,-68.53,7.78
108,saint-augustin,1,CA,1569006812,53,77.0,45.63,-73.98,10.29
109,kangavar,0,IR,1569006531,17,62.6,34.5,47.96,6.93
110,victoria,75,BN,1569006819,83,82.4,5.28,115.24,2.24
111,shu,0,KZ,1569006833,26,71.34,43.6,73.76,8.55
112,havre,1,US,1569006713,55,64.99,48.55,-109.68,11.41
113,sabang,100,PH,1569006845,81,78.01,13.8,121.11,5.99
114,tiarei,75,PF,1569006847,69,80.01,-17.53,-149.33,10.29
115,montreal,40,CA,1569006682,60,77.0,45.5,-73.61,10.29
116,jamestown,77,AU,1569006849,96,41.82,-33.21,138.6,9.24
117,bathsheba,40,BB,1569006645,70,87.8,13.22,-59.52,13.87
118,barcelos,89,BR,1569006852,41,97.26,-0.97,-62.93,4.59
119,butaritari,37,KI,1569006853,65,84.84,3.07,172.79,12.17
120,lagoa,20,PT,1569006855,88,69.01,37.14,-8.45,11.41
121,cape town,20,ZA,1569006614,82,61.0,-33.93,18.42,9.17
122,pangnirtung,90,CA,1569006265,80,41.0,66.15,-65.72,2.24
123,muli,98,CN,1569006863,76,66.12,28.08,109.56,2.82
124,zhanakorgan,0,KZ,1569006865,32,70.8,43.91,67.25,11.99
125,tuatapere,51,NZ,1569006866,93,46.0,-46.13,167.69,1.01
126,wanning,0,AT,1569006868,66,53.01,48.64,13.53,2.24
127,georgetown,40,GY,1569006872,74,89.6,6.8,-58.16,13.87
128,christchurch,0,NZ,1569006873,93,46.99,-43.53,172.64,8.05
129,pampas,79,PE,1569006877,47,56.76,-12.4,-74.87,9.42
130,suchedniow,100,PL,1569006881,100,50.0,51.05,20.83,3.69
131,saint-philippe,1,CA,1569006885,53,77.0,45.36,-73.48,10.29
132,klaksvik,40,FO,1569006891,100,51.8,62.23,-6.59,5.82
133,rodrigues alves,75,BR,1569006895,53,95.0,-7.74,-72.65,6.93
134,semey,0,KZ,1569006899,37,53.6,50.41,80.25,4.47
135,hangu,0,PK,1569006903,69,77.0,33.53,71.06,1.32
136,esperance,90,AU,1569006909,100,46.4,-33.86,121.89,8.05
137,thompson,90,CA,1569006753,93,55.4,55.74,-97.86,6.93
138,yeppoon,40,AU,1569006918,88,62.6,-23.13,150.74,5.82
139,kutum,0,SD,1569006923,23,85.38,14.2,24.66,7.52
140,vastse-kuuste,92,EE,1569006930,81,42.8,58.17,26.93,6.93
141,migori,36,KE,1569006936,64,76.38,-1.07,34.47,10.98
142,hovd,75,NO,1569006940,81,55.99,63.83,10.7,20.8
143,northam,22,AU,1569006945,81,50.0,-31.65,116.67,1.12
144,mata,89,PT,1569006952,74,66.0,40.68,-7.46,1.01
145,saint anthony,90,US,1569006958,93,46.99,43.97,-111.68,9.17
146,oneonta,78,US,1569006965,47,75.0,42.45,-75.06,3.2
147,longyearbyen,75,NO,1569006971,74,33.8,78.22,15.63,9.17
148,mogadishu,86,SO,1569006979,74,77.46,2.04,45.34,15.23
149,taoudenni,55,ML,1569006987,8,105.9,22.68,-3.98,10.16
150,lewiston,1,US,1569006988,44,82.0,44.1,-70.21,6.93
151,kahului,40,US,1569006989,69,80.6,20.89,-156.47,11.41
152,bandarbeyla,71,SO,1569006989,77,76.56,9.49,50.81,15.21
153,champerico,40,MX,1569006992,52,87.8,16.38,-93.6,6.87
154,lorengau,68,PG,1569006995,82,78.0,-2.02,147.27,1.43
155,kinlochleven,0,GB,1569006997,90,57.0,56.71,-4.97,2.82
156,pringsewu,98,ID,1569007000,94,71.52,-5.36,104.98,5.1
157,ca mau,64,VN,1569006981,92,76.56,9.18,105.15,2.48
158,flin flon,90,CA,1569007002,87,60.8,54.77,-101.88,6.93
159,laguna,75,BZ,1569007003,79,84.2,16.17,-88.94,4.7
160,teguldet,24,RU,1569007005,71,49.02,57.31,88.17,9.33
161,san patricio,92,PY,1569007005,63,69.18,-26.98,-56.83,7.87
162,castro,75,CL,1569007007,70,48.2,-42.48,-73.76,13.87
163,east london,0,ZA,1569007009,72,66.2,-33.02,27.91,9.17
164,katsuura,75,JP,1569007010,93,66.2,33.93,134.5,5.82
165,batagay-alyta,100,RU,1569007011,96,29.58,67.8,130.41,0.83
166,calvinia,16,ZA,1569007014,77,57.66,-31.47,19.78,6.76
167,jiexiu,4,CN,1569007018,66,55.68,37.02,111.92,5.88
168,pandan,100,PH,1569007029,80,80.7,11.72,122.09,21.39
169,wagar,67,US,1569007032,46,88.0,31.44,-87.99,3.0
170,marawi,100,PH,1569007035,83,75.0,8.0,124.29,5.01
171,poopo,20,BO,1569007037,17,66.2,-18.38,-66.97,11.41
172,port lincoln,36,AU,1569007042,72,52.98,-34.72,135.86,27.29
173,caborca,0,MX,1569007044,44,90.0,30.58,-111.1,3.0
174,vila franca do campo,20,PT,1569007044,60,71.6,37.72,-25.43,12.75
175,huarmey,98,PE,1569007047,91,60.54,-10.07,-78.15,15.12
176,brookhaven,1,US,1569007048,31,80.01,40.78,-72.92,11.41
177,bonthe,95,SL,1569007049,83,79.62,7.53,-12.5,8.99
178,iqaluit,90,CA,1569007050,89,41.0,63.75,-68.52,20.8
179,yellowknife,90,CA,1569007053,87,48.2,62.45,-114.38,14.99
180,yar-sale,100,RU,1569007055,71,37.32,66.83,70.83,21.65
181,mount isa,7,AU,1569007056,29,75.2,-20.73,139.49,9.17
182,alofi,40,NU,1569007058,93,59.0,-19.06,-169.92,7.76
183,segovia,40,ES,1569007059,57,75.99,40.95,-4.12,13.87
184,tiksi,37,RU,1569006955,96,34.08,71.64,128.87,3.87
185,guerrero negro,0,MX,1569007062,83,67.56,27.97,-114.04,15.68
186,mar del plata,78,AR,1569007064,24,55.32,-46.43,-67.52,36.26
187,lompoc,1,US,1569007066,44,82.99,34.64,-120.46,14.99
188,verkhnyaya inta,80,RU,1569007067,80,36.06,65.99,60.32,12.82
189,puerto madero,0,AR,1569007069,16,69.01,-34.61,-58.36,11.41
190,carnarvon,58,ZA,1569006956,13,74.4,-30.97,22.13,14.83
191,kruisfontein,84,ZA,1569007071,68,62.52,-34.0,24.73,16.11
192,zhigansk,100,RU,1569007073,76,35.88,66.77,123.37,5.86
193,acapulco,40,MX,1569007075,66,87.8,16.86,-99.88,6.93
194,coihaique,90,CL,1569007077,65,44.6,-45.58,-72.07,6.93
195,mizdah,2,LY,1569007078,20,87.72,31.45,12.98,10.09
196,usinsk,88,RU,1569007080,78,36.96,66.0,57.56,10.16
197,lazaro cardenas,75,MX,1569007081,39,82.4,28.39,-105.62,5.82
198,sale,76,AU,1569007082,84,66.0,-38.11,147.06,5.37
199,biu,6,NG,1569007083,74,76.38,10.61,12.19,0.89
200,katherine,24,AU,1569007084,60,75.2,-14.47,132.26,5.82
201,tabou,100,CI,1569007086,92,74.04,4.42,-7.36,6.11
202,hobart,95,AU,1569007088,93,54.0,-42.88,147.33,4.7
203,ganta,79,LR,1569007089,95,73.68,7.31,-8.54,4.27
204,belmonte,78,PT,1569007092,75,66.0,40.36,-7.35,1.01
205,xuddur,87,SO,1569007094,53,80.16,4.12,43.89,16.28
206,ajdabiya,0,LY,1569007095,78,77.64,30.75,20.22,17.49
207,kangaatsiaq,100,GL,1569007097,65,38.94,68.31,-53.46,4.59
208,zheleznogorsk-ilimskiy,91,RU,1569007098,90,48.3,56.58,104.12,5.48
209,solnechnyy,73,RU,1569007100,92,39.84,50.72,136.64,0.89
210,davidson,79,CA,1569007100,67,64.99,51.26,-105.98,1.99
211,agadez,0,NE,1569007102,20,96.8,16.97,7.99,4.7
212,itaituba,20,BR,1569007102,37,100.4,-4.26,-55.99,5.82
213,gamba,67,CN,1569007103,69,39.66,28.28,88.52,4.12
214,geraldton,40,CA,1569007104,63,66.2,49.72,-86.95,9.17
215,teguise,20,ES,1569007106,73,75.2,29.06,-13.56,14.99
216,gornopravdinsk,72,RU,1569007107,80,40.38,60.06,69.92,9.57
217,lebu,90,ET,1569007109,77,62.6,8.96,38.73,6.93
218,arman,69,RU,1569007110,76,33.54,59.7,150.17,4.0
219,leningradskiy,100,RU,1569007111,97,33.0,69.38,178.42,19.75
220,tasgaon,45,IN,1569007112,91,70.26,17.04,74.6,6.55
221,am timan,10,TD,1569007113,73,79.98,11.04,20.28,1.61
222,sioux lookout,90,CA,1569007114,82,66.2,50.1,-91.92,8.05
223,bayugan,100,PH,1569007116,97,70.62,8.71,125.75,2.37
224,upernavik,100,GL,1569007117,54,34.98,72.79,-56.15,2.68
225,napanee,75,CA,1569007118,82,81.0,44.25,-76.95,12.75
226,puerto narino,75,CO,1569007119,63,91.4,-3.77,-70.38,8.05
227,puerto escondido,40,MX,1569007120,62,89.6,15.86,-97.07,10.29
228,mayumba,22,GA,1569007122,84,76.38,-3.44,10.65,10.09
229,paita,75,PE,1569007123,290,62.6,-5.09,-81.11,13.87
230,kamina,0,CD,1569007124,24,78.18,-8.74,25.0,5.91
231,kalemie,0,CD,1569007126,43,73.32,-5.95,29.2,2.17
232,aitape,23,PG,1569007126,89,74.04,-3.15,142.36,3.8
233,ivybridge,0,GB,1569007128,59,62.01,50.39,-3.92,14.99
234,san-pedro,100,CI,1569007129,95,72.24,4.75,-6.64,4.92
235,langsa,99,ID,1569007130,97,70.62,4.47,97.97,1.25
236,cabo san lucas,90,MX,1569007056,83,84.99,22.89,-109.91,5.82
237,svetlogorsk,40,RU,1569007133,93,37.4,53.14,59.15,4.47
238,alyangula,20,AU,1569007134,94,71.6,-13.85,136.42,6.93
239,terra santa,67,BR,1569007135,19,102.3,-2.1,-56.49,9.01
240,sawtell,75,AU,1569007136,93,62.6,-30.38,153.1,6.93
241,bucerias,90,MX,1569006944,66,88.0,20.76,-105.33,4.45
242,skelleftea,0,SE,1569007137,80,41.0,64.75,20.95,9.17
243,pacific grove,1,US,1569007139,46,82.0,36.62,-121.92,5.82
244,meridian,1,US,1569007140,45,64.99,43.61,-116.39,17.22
245,mitha tiwana,0,PK,1569007140,46,80.7,32.24,72.11,4.54
246,clyde river,90,CA,1569007141,93,37.4,70.47,-68.59,18.34
247,esperantinopolis,90,BR,1569007142,29,98.52,-4.87,-44.71,1.07
248,hofn,90,IS,1569007144,93,51.8,64.25,-15.21,2.24
249,kununurra,13,AU,1569007147,72,68.0,-15.77,128.74,4.7
250,lexington,40,US,1569006910,51,86.0,38.05,-84.5,6.93
251,dikson,97,RU,1569007151,84,36.78,73.51,80.55,23.89
252,vaitape,93,PF,1569007152,77,77.28,-16.52,-151.75,8.55
253,karachi,0,PK,1569007154,66,84.2,24.87,67.03,11.41
254,salalah,20,OM,1569007155,83,80.6,17.01,54.1,6.93
255,puri,42,ID,1569007157,86,68.64,-7.54,112.45,7.43
256,muncar,63,ID,1569007161,97,66.12,-8.43,114.34,2.26
257,carutapera,57,BR,1569007162,61,85.38,-1.2,-46.02,12.06
258,faanui,93,PF,1569007164,77,77.28,-16.48,-151.75,8.55
259,kaitangata,17,NZ,1569007165,89,41.0,-46.28,169.85,4.0
260,nanortalik,31,GL,1569007166,70,40.2,60.14,-45.24,3.0
261,semirom,0,IR,1569007168,24,54.42,31.41,51.57,0.22
262,dudinka,75,RU,1569007169,93,46.4,69.41,86.18,11.18
263,perth,0,AU,1569007170,93,50.0,-31.95,115.86,4.7
264,mombasa,20,KE,1569007171,83,77.0,-4.05,39.67,4.7
265,zambezi,40,ZM,1569007173,19,72.78,-13.55,23.12,3.22
266,thinadhoo,100,MV,1569007175,80,81.42,0.53,72.93,19.75
267,dungarpur,99,IN,1569007177,79,78.72,23.85,73.71,3.67
268,aberystwyth,0,GB,1569007004,73,60.01,52.41,-4.08,1.99
269,syracuse,75,US,1569007182,44,78.01,43.05,-76.15,3.36
270,broome,0,GB,1569007183,87,61.0,52.47,1.45,6.93
271,magdalena,90,PH,1569007183,94,78.01,14.2,121.43,11.41
272,mount gambier,90,AU,1569007183,100,51.8,-37.83,140.78,6.93
273,chodavaram,33,IN,1569007184,93,74.22,17.44,81.78,4.18
274,matara,32,BI,1569007184,70,56.58,-3.48,29.48,1.83
275,ancud,75,CL,1569007184,70,48.2,-41.87,-73.83,13.87
276,te anau,6,NZ,1569007184,83,41.1,-45.41,167.72,5.23
277,port moresby,75,PG,1569007185,88,77.0,-9.47,147.16,6.93
278,shaowu,0,CN,1569007185,82,60.0,27.34,117.49,2.33
279,mayachnyy,67,RU,1569007185,77,45.96,52.68,55.69,7.74
280,saint-joseph,0,FR,1569007185,68,75.2,43.56,6.97,3.36
281,inhambane,20,MZ,1569007186,83,71.6,-23.87,35.38,3.36
282,yulara,0,AU,1569007186,48,42.8,-25.24,130.99,4.7
283,kidal,30,ML,1569007186,21,97.08,18.44,1.41,10.67
284,tual,98,ID,1569007186,84,76.56,-5.67,132.75,12.17
285,formosa,0,BR,1569007187,11,98.7,-15.55,-47.33,4.0
286,coahuayana,93,MX,1569007187,68,83.58,18.62,-100.35,2.21
287,chara,75,GR,1569007187,82,66.2,39.42,22.43,4.7
288,nuuk,90,GL,1569007188,86,39.2,64.17,-51.74,27.51
289,aklavik,90,CA,1569007188,93,44.6,68.22,-135.01,10.29
290,campo grande,40,BR,1569007192,36,95.0,-20.46,-54.62,17.22
291,rawson,33,AR,1569007193,23,58.38,-43.3,-65.11,38.43
292,codrington,90,AU,1569007193,93,59.0,-28.95,153.24,1.63
293,jan kempdorp,36,ZA,1569007194,12,73.5,-27.92,24.84,12.21
294,puerto baquerizo moreno,40,EC,1569007194,73,73.4,-0.9,-89.6,16.11
295,bow island,75,CA,1569007194,63,64.0,49.87,-111.38,4.7
296,saint-pierre,0,FR,1569007195,44,64.4,48.95,4.24,12.75
297,mitsamiouli,1,KM,1569007195,79,78.0,-11.38,43.28,13.76
298,cayenne,75,GF,1569007195,70,87.8,4.94,-52.33,12.75
299,carman,75,CA,1569007195,93,68.0,49.51,-98.0,16.11
300,tigil,0,RU,1569007196,84,36.24,57.8,158.67,4.83
301,ladnun,10,IN,1569007196,51,85.56,27.64,74.39,7.36
302,halden,0,SE,1569007196,51,59.0,59.12,11.39,2.24
303,monrovia,75,LR,1569007196,94,78.8,6.33,-10.8,9.17
304,skjervoy,75,NO,1569007197,93,41.0,70.03,20.97,9.17
305,astana,0,KZ,1569007197,61,46.4,51.13,71.43,2.24
306,caravelas,31,BR,1569007197,68,80.7,-17.73,-39.27,18.52
307,chabahar,0,IR,1569007198,78,78.0,25.29,60.65,1.57
308,shanhetun,36,CN,1569007198,97,48.66,44.7,127.2,7.7
309,conde,68,BR,1569007198,62,81.42,-11.81,-37.61,8.97
310,novyy urengoy,100,RU,1569007198,89,42.72,66.08,76.63,20.96
311,peleduy,100,RU,1569007199,99,46.14,59.63,112.75,5.53
312,sartell,1,US,1569007199,69,84.2,45.62,-94.21,9.17
313,pisco,0,PE,1569007199,30,71.6,-13.71,-76.2,10.29
314,mandali,0,IQ,1569007199,16,90.6,33.75,45.55,6.08
315,constitucion,75,MX,1569007200,49,75.99,23.99,-104.67,5.82
316,sault sainte marie,75,CA,1569007200,69,75.2,46.49,-84.36,4.7
317,hervey bay,90,AU,1569007200,93,61.0,-25.3,152.85,5.82
318,morondava,0,MG,1569007200,78,76.92,-20.3,44.28,17.27
319,lamar,1,US,1569007201,16,93.2,38.09,-102.62,13.87
320,taltal,0,CL,1569007201,63,59.46,-25.41,-70.49,8.57
321,campina verde,17,BR,1569007201,15,100.32,-19.54,-49.49,11.54
322,ahuimanu,75,US,1569007202,73,82.4,21.44,-157.84,4.7
323,pokaran,0,IN,1569007202,27,94.92,26.93,71.92,8.7
324,dukat,23,AL,1569007202,66,68.0,40.25,19.57,8.99
325,pacifica,20,US,1569007203,50,78.01,37.61,-122.49,3.36
326,tazovskiy,100,RU,1569006938,94,39.84,67.47,78.7,20.89
327,anloga,40,GH,1569007026,88,78.8,5.79,0.9,8.05
328,hammerfest,75,NO,1569007203,86,41.0,70.66,23.68,16.11
329,krasnokamsk,0,RU,1569007204,86,41.0,58.08,55.76,4.47
330,hambantota,40,LK,1569007204,100,75.2,6.12,81.12,4.7
331,billings,90,US,1569007204,76,59.0,45.79,-108.5,5.82
332,tay ninh,100,VN,1569007205,95,75.3,11.3,106.1,4.18
333,puerto leguizamo,100,CO,1569007207,63,87.9,-0.19,-74.78,2.84
334,walvis bay,15,NA,1569007208,87,59.0,-22.95,14.51,4.7
335,constantine,40,DZ,1569007053,78,73.4,36.36,6.61,2.24
336,souillac,0,FR,1569007210,44,77.0,45.6,-0.6,4.7
337,lazarev,64,RU,1569007211,74,51.18,52.23,141.51,8.21
338,parabel,85,RU,1569007211,81,46.68,58.71,81.5,15.55
339,berberati,61,CF,1569007211,87,72.06,4.26,15.79,1.86
340,east wenatchee bench,1,US,1569007212,37,73.4,47.43,-120.28,8.05
341,smithers,75,CA,1569007212,76,53.6,54.78,-127.17,3.36
342,olinda,0,AU,1569007213,48,72.0,-37.84,145.39,25.28
343,babynino,0,RU,1569007213,100,41.0,54.39,35.75,6.35
344,xining,0,CN,1569007213,66,39.3,36.62,101.77,3.78
345,oistins,40,BB,1569007214,70,87.8,13.07,-59.53,13.87
346,jardim,44,BR,1569007214,46,87.18,-21.48,-56.15,10.63
347,naze,40,NG,1569007214,78,82.4,5.43,7.07,11.41
348,whitehorse,75,CA,1569007158,76,50.0,60.72,-135.06,18.34
349,saint-prosper,59,CA,1569007215,55,72.0,46.21,-70.48,8.01
350,usta muhammad,0,PK,1569007215,19,95.1,28.18,68.05,8.99
351,dawlatabad,0,AF,1569007215,19,73.86,36.41,64.91,6.42
352,fairbanks,90,US,1569007058,87,46.99,64.84,-147.72,4.7
353,waddan,0,LY,1569007216,23,86.82,29.16,16.14,9.46
354,the valley,40,AI,1569007216,78,91.0,18.22,-63.06,3.36
355,lavrentiya,96,RU,1569007216,97,32.64,65.58,-170.99,4.07
356,bambous virieux,40,MU,1569007217,68,69.8,-20.34,57.76,8.05
357,port hardy,40,CA,1569007217,93,57.2,50.7,-127.42,6.93
358,arlit,22,NE,1569007217,8,98.88,18.74,7.39,0.76
359,miaoli,40,TW,1569007217,68,77.0,24.56,120.82,16.11
360,makat,100,KZ,1569007218,29,63.6,47.65,53.35,6.08
361,medina,0,SA,1569007218,6,102.2,24.47,39.61,4.7
362,tumen,2,CN,1569007218,96,47.04,42.97,129.84,2.55
363,vallenar,0,CL,1569007218,33,69.0,-28.58,-70.76,11.18
364,adela,0,AR,1569007219,37,62.88,-35.68,-57.95,15.19
365,namibe,81,AO,1569007171,85,66.12,-15.19,12.15,13.27
366,praia,40,BR,1569007219,24,95.0,-20.25,-43.81,5.82
367,necochea,0,AR,1569007219,58,55.0,-38.55,-58.74,10.0
368,naustdal,75,NO,1569007220,93,53.6,61.51,5.72,1.12
369,deputatskiy,83,RU,1569007220,95,22.2,69.3,139.9,3.06
370,launceston,100,AU,1569007221,93,52.0,-41.43,147.14,8.05
371,west bay,90,CA,1569007222,93,64.4,49.34,-123.21,5.82
372,kalmunai,100,LK,1569007225,84,77.82,7.42,81.82,2.39
373,beidao,82,CN,1569007226,57,51.36,34.57,105.89,2.48
374,luanda,40,AO,1569007227,88,73.4,-8.83,13.24,6.93
375,tromso,75,NO,1569007054,86,41.0,69.65,18.96,9.17
376,iwanai,33,JP,1569007228,85,46.32,42.97,140.51,4.79
377,loviisa,0,FI,1569007228,70,45.0,60.46,26.23,3.36
378,norman wells,75,CA,1569007228,71,51.8,65.28,-126.83,9.17
379,carupano,57,VE,1569007228,55,90.6,10.67,-63.26,5.7
380,mezhdurechensk,100,RU,1569007229,83,51.36,53.69,88.07,3.11
381,santa rosa,0,AR,1569007066,16,65.94,-36.62,-64.29,16.37
382,mulchen,20,CL,1569007229,44,59.0,-37.72,-72.23,13.87
383,tarragona,75,ES,1569007230,83,73.0,41.12,1.25,4.7
384,freeport,75,BS,1569007161,62,84.2,26.54,-78.7,19.46
385,warri,100,NG,1569007230,83,78.9,5.52,5.75,5.01
386,ola,78,RU,1569007230,79,44.52,59.58,151.3,5.93
